name,score,price,rank
AMD Ryzen 5 3500X,"13,413",NA,195
Intel Xeon E5-2660 v4 @ 2.00GHz,"13,371","$1,429.95*",196
AMD EPYC 3251,"13,341",$315.00*,197
Intel Xeon E-2146G @ 3.50GHz,"13,340",$362.59,198
Intel Core i7-8700 @ 3.20GHz,"13,321",$388.00,199
AMD Ryzen 5 2600,"13,303",$134.99,200
Intel Xeon E5-2660 v3 @ 2.60GHz,"13,266",$429.95,201
Intel Xeon E5-2658 v4 @ 2.30GHz,"13,209",NA,202
Intel Xeon E5-2683 v3 @ 2.00GHz,"13,129",$384.00,203
AMD Ryzen 5 1600X,"13,123",$198.86,204
Intel Xeon E5-2690 v2 @ 3.00GHz,"13,109",$180.80,205
Intel Core i7-7800X @ 3.50GHz,"12,908",$424.43*,206
Intel Xeon E-2186G @ 3.80GHz,"12,908",$516.77*,207
Intel Xeon E5-2670 v3 @ 2.30GHz,"12,901",$119.00,208
Intel Xeon W-2133 @ 3.60GHz,"12,873",$617.00*,209
Intel Xeon E5-2695 v2 @ 2.40GHz,"12,836",$248.99,210
Intel Xeon E5-1680 v3 @ 3.20GHz,"12,820",$589.99*,211
Intel Xeon E5-1660 v4 @ 3.20GHz,"12,792","$1,229.52*",212
Intel Xeon E5-2680 v2 @ 2.80GHz,"12,774",$163.93,213
Intel Xeon D-2141I @ 2.20GHz,"12,765",$555.00*,214
Intel Xeon E5-2658 v3 @ 2.20GHz,"12,681",NA,215
Intel Core i7-9750HF @ 2.60GHz,"12,674",$395.00*,216
Intel Core i7-5960X @ 3.00GHz,"12,669",$951.31*,217
AMD EPYC 7251,"12,529",$401.36,218
AMD Ryzen 5 3500,"12,529",NA,219
AMD Ryzen 5 1600,"12,526",$145.99,220
Intel Xeon E5-4627 v4 @ 2.60GHz,"12,524","$2,225.00*",221
Intel Xeon E5-2667 v3 @ 3.20GHz,"12,518",$349.00,222
Intel Xeon E5-4660 v3 @ 2.10GHz,"12,402","$4,800.00*",223
Intel Xeon E5-2673 v3 @ 2.40GHz,"12,381",$700.00*,224
Intel Xeon E5-2696 v2 @ 2.50GHz,"12,312",NA,225
Intel Xeon E-2276M @ 2.80GHz,"12,196",$450.00*,226
Intel Xeon E5-2685 v3 @ 2.60GHz,"12,170",NA,227
Intel Xeon E5-2650 v4 @ 2.20GHz,"12,150",$999.00*,228
Intel Xeon E-2276G @ 3.80GHz,"12,146",$362.00*,229
Intel Xeon E5-2640 v4 @ 2.40GHz,"12,132",$994.99,230
Intel Core i7-8700B @ 3.20GHz,"12,128",$303.00*,231
Intel Xeon E5-2667 v2 @ 3.30GHz,"12,105",$179.99,232
AMD EPYC 7301,"12,085",$674.99,233
Intel Xeon E-2278GEL @ 2.00GHz,"12,013",$494.00*,234
Intel Xeon E5-1660 v3 @ 3.00GHz,"11,998",$408.95*,235
Intel Xeon D-2146NT @ 2.30GHz,"11,991",$641.00*,236
Intel Xeon E5-2650 v3 @ 2.30GHz,"11,930",$83.14,237
Intel Xeon E5-2687W v2 @ 3.40GHz,"11,798",$335.00*,238
Intel Xeon E-2186M @ 2.90GHz,"11,736",$623.00*,239
Intel Xeon E5-2673 v2 @ 3.30GHz,"11,630",NA,240
Intel Xeon E5-2630 v4 @ 2.20GHz,"11,587",$698.99,241
AMD Ryzen 5 4500U,"11,565",NA,242
Intel Core i7-6850K @ 3.60GHz,"11,563",$373.09,243
Intel Core i7-9750H @ 2.60GHz,"11,548",$395.00*,244
Intel Xeon E5-2649 v3 @ 2.30GHz,"11,437",NA,245
Intel Core i7-9850H @ 2.60GHz,"11,397",$395.00*,246
Intel Core i9-8950HK @ 2.90GHz,"11,390",$583.00*,247
Intel Xeon E5-1680 v2 @ 3.00GHz,"11,356",NA,248
Intel Xeon E-2126G @ 3.30GHz,"11,333",$299.99*,249
Intel Xeon E5-1650 v4 @ 3.60GHz,"11,273",$508.00*,250
Intel Xeon E5-2675 v3 @ 1.80GHz,"11,244",NA,251
Intel Xeon E5-2618L v4 @ 2.20GHz,"11,225",$779.00*,252
Intel Xeon E5-4627 v3 @ 2.60GHz,"11,150","$2,400.00*",253
Intel Xeon W-2125 @ 4.00GHz,"11,129",$476.87,254
Intel Xeon E5-2650L v4 @ 1.70GHz,"11,111",$529.99*,255
